No,Name,Position,ID,PW
0,小深田　大翔,内野手,,
1,松井　裕樹,投手,,
2,太田　光,捕手,,
3,浅村　栄斗,内野手,,
4,オコエ　瑠偉,外野手,,
5,茂木　栄五郎,内野手,,
6,藤田　一也,内野手,,
7,鈴木　大地,内野手,,
8,辰己　涼介,外野手,,
11,岸　孝之,投手,,
12,近藤　弘樹,投手,,
13,森原　康平,投手,,
14,則本　昂大,投手,,
15,J.T. シャギワ,投手,,
16,涌井　秀章,投手,,
17,王　彦程,投手,,
17,塩見　貴洋,投手,,
19,藤平　尚真,投手,,
20,安樂　智大,投手,,
21,釜田　佳直,投手,,
22,牧田　和久,投手,,
23,弓削　隼人,投手,,
24,黒川　史陽,内野手,,
25,田中　和基,外野手,,
26,渡辺　直人,内野手,,
27,岡島　豪郎,捕手,,
28,酒居　知史,投手,,
29,山下　斐紹,捕手,,
31,福井　優也,投手,,
32,ブセニッツ,投手,,
33,銀次,内野手,,
34,山﨑　剛,内野手,,
35,島内　宏明,外野手,,
36,内田　靖人,内野手,,
38,岩見　雅紀,外野手,,
39,引地　秀一郎,投手,,
40,ウィーラー,内野手,,
41,青山　浩二,投手,,
43,宋　家豪,投手,,
44,足立　祐一,捕手,,
45,菅原　秀,投手,,
46,下水流　昂,外野手,,
47,渡邊　佑樹,投手,,
48,渡邊　佳明,内野手,,
49,福森　耀真,投手,,
51,小郷　裕哉,外野手,,
52,津留﨑　大成,投手,,
53,高梨　雄平,投手,,
54,和田　恋,外野手,,
56,鈴木　翔天,投手,,
57,瀧中　瞭太,投手,,
58,辛島　航,投手,,
59,熊原　健人,投手,,
60,石橋　良太,投手,,
61,佐藤　智輝,投手,,
62,西口　直人,投手,,
63,由規,投手,,
65,堀内　謙伍,捕手,,
66,村林　一輝,内野手,,
68,寺岡　寛治,投手,,
69,ブラッシュ,外野手,,
70,石原　彪,捕手,,
71,武藤　敦貴,外野手,,
78,水上　桂,捕手,,
91,久保　裕也,投手,,
97,フェルナンド,外野手,,
8,吉持　亮汰,内野手,,
16,森　雄大,投手,,
129,南　要輔,内野手,,
130,池田　隆英,投手,,
131,木村　敏靖,投手,,
133,松本　京志郎,内野手,,
134,中村　和希,外野手,,
135,清宮　虎多朗,投手,,
136,則本　佳樹,投手,,
137,江川　侑斗,捕手,,
138,小峯　新陸,投手,,
139,下妻　貴寛,捕手,,
140,山﨑　真彰,内野手,,
141,澤野　聖悠,内野手,,
150,耀飛,外野手,,
164,福山　博之,投手,,
